2026-03-23 08:00:16 | ROOT_CAUSE: 未知原因 | TIME_WAIT=0 | FIN_WAIT2=0 | CLOSE_WAIT=0 | Chrome=7 | Node=3 | GwThreads=30 | GwHandles=373 | GwMem=535MB | GwChildProcs=0
2026-03-23 09:40:45 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=0 | FIN_WAIT2=0 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=30 | GwHandles=381 | GwMem=546MB | GwCPU=28.953125
2026-03-23 09:41:44 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=0 | FIN_WAIT2=0 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=30 | GwHandles=381 | GwMem=543MB | GwCPU=31.171875
2026-03-23 09:42:45 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=0 | FIN_WAIT2=0 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=30 | GwHandles=381 | GwMem=554MB | GwCPU=33.203125
2026-03-23 09:43:48 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=0 | FIN_WAIT2=0 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=30 | GwHandles=381 | GwMem=558MB | GwCPU=35.34375
2026-03-23 09:44:51 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=0 | FIN_WAIT2=0 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=30 | GwHandles=381 | GwMem=562MB | GwCPU=37.453125
2026-03-23 09:45:49 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=0 | FIN_WAIT2=0 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=30 | GwHandles=381 | GwMem=561MB | GwCPU=39.390625
2026-03-23 09:46:44 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=0 | FIN_WAIT2=0 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=30 | GwHandles=381 | GwMem=594MB | GwCPU=40.671875
2026-03-23 09:47:47 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=0 | FIN_WAIT2=0 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=30 | GwHandles=381 | GwMem=585MB | GwCPU=43.328125
2026-03-23 09:48:45 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=0 | FIN_WAIT2=0 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=30 | GwHandles=388 | GwMem=614MB | GwCPU=44.703125
2026-03-23 09:49:45 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=0 | FIN_WAIT2=0 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=30 | GwHandles=381 | GwMem=603MB | GwCPU=46.84375
2026-03-23 09:50:45 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=0 | FIN_WAIT2=0 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=30 | GwHandles=381 | GwMem=612MB | GwCPU=48.390625
2026-03-23 09:51:45 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=0 | FIN_WAIT2=0 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=30 | GwHandles=381 | GwMem=607MB | GwCPU=50.640625
2026-03-23 09:52:17 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=0 | FIN_WAIT2=0 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=30 | GwHandles=381 | GwMem=616MB | GwCPU=51.75
2026-03-23 09:53:48 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=0 | FIN_WAIT2=0 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=30 | GwHandles=381 | GwMem=608MB | GwCPU=53.90625
2026-03-23 09:54:45 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=0 | FIN_WAIT2=0 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=30 | GwHandles=381 | GwMem=610MB | GwCPU=56.015625
2026-03-23 09:55:47 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=0 | FIN_WAIT2=0 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=30 | GwHandles=381 | GwMem=619MB | GwCPU=57.640625
2026-03-23 09:56:44 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=0 | FIN_WAIT2=0 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=30 | GwHandles=381 | GwMem=613MB | GwCPU=59.859375
2026-03-23 09:57:50 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=0 | FIN_WAIT2=0 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=30 | GwHandles=381 | GwMem=605MB | GwCPU=62.015625
2026-03-23 09:58:49 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=0 | FIN_WAIT2=0 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=30 | GwHandles=381 | GwMem=619MB | GwCPU=63.515625
2026-03-23 09:59:47 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=0 | FIN_WAIT2=0 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=30 | GwHandles=381 | GwMem=616MB | GwCPU=65.328125
2026-03-23 10:00:44 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=0 | FIN_WAIT2=0 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=30 | GwHandles=381 | GwMem=630MB | GwCPU=66.890625
2026-03-23 10:01:44 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=0 | FIN_WAIT2=0 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=30 | GwHandles=381 | GwMem=617MB | GwCPU=69
2026-03-23 10:02:46 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=0 | FIN_WAIT2=0 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=30 | GwHandles=381 | GwMem=624MB | GwCPU=70.796875
2026-03-23 10:03:45 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=0 | FIN_WAIT2=0 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=30 | GwHandles=381 | GwMem=611MB | GwCPU=72.96875
2026-03-23 10:04:45 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=0 | FIN_WAIT2=0 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=30 | GwHandles=381 | GwMem=621MB | GwCPU=74.4375
2026-03-23 10:05:45 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=1 | FIN_WAIT2=1 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=30 | GwHandles=382 | GwMem=626MB | GwCPU=77.46875
2026-03-23 10:06:46 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=1 | FIN_WAIT2=1 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=30 | GwHandles=382 | GwMem=622MB | GwCPU=79.625
2026-03-23 10:07:50 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=0 | FIN_WAIT2=0 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=30 | GwHandles=382 | GwMem=636MB | GwCPU=81.265625
2026-03-23 10:08:44 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=0 | FIN_WAIT2=0 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=30 | GwHandles=382 | GwMem=490MB | GwCPU=84.140625
2026-03-23 10:09:45 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=0 | FIN_WAIT2=0 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=30 | GwHandles=382 | GwMem=545MB | GwCPU=87.25
2026-03-23 10:10:53 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=0 | FIN_WAIT2=0 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=30 | GwHandles=382 | GwMem=624MB | GwCPU=89.234375
2026-03-23 10:11:48 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=0 | FIN_WAIT2=0 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=30 | GwHandles=382 | GwMem=619MB | GwCPU=91.546875
2026-03-23 10:13:49 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=0 | FIN_WAIT2=1 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=30 | GwHandles=371 | GwMem=490MB | GwCPU=18.734375
2026-03-23 10:14:47 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=1 | FIN_WAIT2=0 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=30 | GwHandles=381 | GwMem=559MB | GwCPU=21.75
2026-03-23 10:15:47 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=1 | FIN_WAIT2=0 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=30 | GwHandles=381 | GwMem=589MB | GwCPU=24
2026-03-23 10:16:19 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=1 | FIN_WAIT2=0 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=30 | GwHandles=381 | GwMem=604MB | GwCPU=25.609375
2026-03-23 10:17:18 | ROOT_CAUSE: 未知原因(指标正常但HTTP无响应→死循环/死锁) | TIME_WAIT=0 | FIN_WAIT2=0 | CLOSE_WAIT=0 | Chrome=7 | Node=4 | GwThreads=30 | GwHandles=381 | GwMem=594MB | GwCPU=28.015625
