省份,中标企业,占比,金额(万元),折扣
湖南,湖南常德信通网络维护有限公司,8%,8057.70,90%
吉林,中通服建设有限公司,37%,4531.83,88%
吉林,武汉虹信技术服务有限责任公司,35%,4288.76,88%
吉林,越讯通信股份有限公司,28%,3431.01,88%
江苏,润建股份有限公司,16%,26691.34,86%
江苏,嘉环科技股份有限公司,14%,23354.34,86%
江苏,和勤通信技术有限公司,13%,21686.34,84%
江苏,广东怡创科技股份有限公司,12%,20020.01,89%
江苏,宜通世纪科技股份有限公司,11%,18351.67,87%
江苏,中国通信建设第四工程局有限公司,10%,16683.34,86%
江苏,中邮建技术有限公司,9%,15015.01,83%
江苏,江苏中通通信股份有限公司,8%,13346.67,83%
江苏,贝通通信集团有限公司,7%,11678.34,83%
江西,鼎人通信技术服务股份有限公司,28%,31811.02,88%
江西,润建股份有限公司,26%,29538.81,88%
江西,宜通世纪科技股份有限公司,24%,27266.59,88%
江西,嘉环科技股份有限公司,22%,24994.38,88%
辽宁,广东长实通信科技有限公司,21%,13500.69,91%
辽宁,广东海格怡创科技有限公司,19%,12214.91,91%
辽宁,宜通世纪科技股份有限公司,16%,10286.24,90%
辽宁,中通服建设有限公司,15%,9643.46,84%
辽宁,山东邮电工程有限公司,12%,7714.68,90%
辽宁,中邮建技术有限公司,10%,6428.89,89%
辽宁,嘉环科技股份有限公司,8%,5143.12,90%
内蒙古,广东长实通信科技有限公司,30%,7891.94,92%
内蒙古,广东怡创科技股份有限公司,27%,7104.35,92%
内蒙古,宜通世纪科技股份有限公司,23%,6051.55,92%
内蒙古,中通服建设有限公司,20%,5262.36,92%
宁夏,贝通通信集团有限公司,100%,7091.40,86%
山东,中通服建设有限公司,16%,20467.33,88%
山东,广东长实通信科技有限公司,14%,17908.91,88%
山东,嘉环科技股份有限公司,13%,16629.70,88%
山东,广东怡创科技股份有限公司,12%,15350.50,88%
山东,浙江省邮电工程建设有限公司,11%,14071.29,88%
山东,中邮建技术有限公司,10%,12792.08,88%
山东,宜通世纪科技股份有限公司,9%,11512.83,88%
山东,越讯通信股份有限公司,8%,10233.68,88%
山东,中邮建技术有限公司,7%,8954.44,88%
山西,润建股份有限公司,28%,11314.79,90%
山西,嘉环科技股份有限公司,26%,10525.31,90%
山西,广东长实通信科技有限公司,24%,9715.54,89%
山西,中邮建技术有限公司,22%,8905.93,92%
陕西,润建股份有限公司,22%,18647.94,88%
陕西,广东怡创科技股份有限公司,17%,14611.36,89%
陕西,鼎人通信技术服务股份有限公司,16%,13319.96,87%
陕西,中国通信建设第四工程局有限公司,13%,11321.97,88%
陕西,中通服建设有限公司,10%,8637.97,88%
上海,和勤通信技术有限公司,23%,10868.60,90%
上海,广东长实通信科技有限公司,21%,9923.51,91%
上海,润建股份有限公司,20%,9450.96,91%
上海,嘉环科技股份有限公司,19%,8978.41,91%
上海,广东怡创科技股份有限公司,17%,8033.32,90%
天津,润建股份有限公司,100%,4547.40,90%
西藏,中通服建设有限公司,28%,13566.71,90%
西藏,重庆信科通信工程有限公司,27%,13082.20,89%
西藏,浙江省邮电工程建设有限公司,25%,12113.15,90%
西藏,四川省通信产业服务有限公司,20%,9690.52,90%
新疆,贝通通信集团有限公司,26%,19796.31,90%
新疆,山东邮电工程有限公司,23%,17512.15,90%
新疆,中国通信建设第四工程局有限公司,20%,15227.96,90%
新疆,润建股份有限公司,17%,12943.77,90%
新疆,立信技术股份有限公司,14%,10659.57,90%
云南,广东长实通信科技有限公司,19%,41839.81,88%
云南,广东海格怡创科技有限公司,14%,31173.71,91%
云南,浙江省邮电工程建设有限公司,13%,19011.50,93%
云南,润建股份有限公司,11%,16538.49,91%
云南,中邮建技术有限公司,10%,15124.08,90%
云南,中通服建设有限公司,9%,13611.67,92%
云南,武汉虹信技术服务有限责任公司,8%,12099.26,90%
云南,贝通通信集团有限公司,6%,9074.45,90%
重庆,润建股份有限公司,51%,7395.41,86%
重庆,浙江省邮电工程建设有限公司,49%,7105.74,92%
四川,中通服建设有限公司,21%,22667.36,89%
四川,武汉虹信技术服务有限责任公司,20%,21587.96,89%
四川,润建股份有限公司,18%,19429.16,87%
四川,宜通世纪科技股份有限公司,17%,18349.77,89%
四川,广东海格怡创科技有限公司,13%,14012.17,89%
四川,四川省通信产业服务有限公司,11%,11871.38,89%
浙江,润建股份有限公司,24%,36111.49,91%
浙江,嘉环科技股份有限公司,20%,30426.24,92%
浙江,广东长实通信科技有限公司,17%,25862.30,91%
浙江,中通服建设有限公司,12%,18255.74,87%
浙江,鼎人通信技术服务股份有限公司,10%,15213.12,90%
浙江,宜通世纪科技股份有限公司,9%,13691.81,91%
浙江,杭州通嘉网络科技有限公司,8%,12170.50,90%
